"","stim_sex","picID","correct","emotion","race","stimNum","rt","response","partno","sub_sex","acc"
"164","Male","HappyMaleWhite3","3","Happy","White","10","1340","3",107,0,1
"174","Male","FearMaleWhite2","1","Fear","White","32","1505","5",107,0,0
"184","Male","AngryMaleWhite2","2","Angry","White","31","2704","2",107,0,1
"194","Male","AngryMaleWhite","2","Angry","White","3","1178","2",107,0,1
"204","Female","NeutralFemaleWhite","7","Neutral","White","18","1361","7",107,0,1
"217","Male","NeutralMaleWhite3","7","Neutral","White","34","799","7",107,0,1
"224","Male","SadMaleWhite","4","Sad","White","11","1357","7",107,0,0
"234","Female","NeutralFemaleWhite2","7","Neutral","White","19","452","7",107,0,1
"244","Female","SurpriseFemaleWhite","6","Surprise","White","5","377","7",107,0,0
"254","Female","SadFemaleWhite2","4","Sad","White","4","4914","7",107,0,0
"264","Female","AngryFemaleWhite","2","Angry","White","6","1619","5",107,0,0
"279","Female","DisgustFemaleWhite2","5","Disgust","White","26","1510","5",107,0,1
"289","Female","FearFemaleWhite","1","Fear","White","13","2188","6",107,0,0
"299","Female","HappyFemaleWhite2","3","Happy","white","8","1993","3",107,0,1
"309","Female","DisgustFemaleWhite3","5","Disgust","White","29","1244","1",107,0,0
"3111","Male","NeutralMaleWhite2","7","Neutral","White","33","1688","4",107,0,0
"329","Male","SurpriseMaleWhite","6","Surprise","White","21","1302","6",107,0,1
"339","Male","SadMaleWhite2","4","Sad","White","12","1420","7",107,0,0
"349","Male","DisgustMaleWhite6","5","Disgust","White","17","1327","3",107,0,0
"359","Female","FearFemaleWhite2","1","Fear","White","23","1794","6",107,0,0
"2710","Male","NeutralMaleWhite2","7","Neutral","White","33","8316","4",108,0,0
"2810","Female","NeutralFemaleWhite2","7","Neutral","White","19","1060","4",108,0,0
"2910","Female","FearFemaleWhite2","1","Fear","White","23","1589","1",108,0,1
"3010","Female","HappyFemaleWhite2","3","Happy","white","8","2880","3",108,0,1
"3112","Female","DisgustFemaleWhite","5","Disgust","White","25","1168","5",108,0,1
"3210","Female","HappyFemaleWhite","3","Happy","White","7","1898","3",108,0,1
"3310","Female","AngryFemaleWhite2","2","Angry","White","24","1521","2",108,0,1
"3410","Male","FearMaleWhite2","1","Fear","White","32","3261","1",108,0,1
"3510","Female","HappyFemaleWhite3","3","Happy","White","28","959","3",108,0,1
"365","Male","DisgustMaleWhite3","5","Disgust","White","15","3030","5",108,0,1
"375","Male","SadMaleWhite2","4","Sad","White","12","5111","4",108,0,1
